"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 06 21:38:47 EST 2024","Wed Mar 06 21:38:54 EST 2024","7117","chrome","test/GoogleSearchAllure.spec.ts","","","","Search for BMW on Search Field",""
"passed","Wed Mar 06 21:38:54 EST 2024","Wed Mar 06 21:39:02 EST 2024","7735","firefox","test/GoogleSearchAllure.spec.ts","","","","Search for BMW on Search Field",""
